ARIMA,SARIMA,LSTM
143.75,143.82202866366174,189.55034
143.75,144.08642483811144,184.01157
143.75,144.67917648988148,176.24353
143.75,144.11100504718686,172.92877
143.75,143.88381417910188,172.76122
143.75,144.10105140078983,178.27487
143.75,143.95088951087607,180.0371
143.75,144.27544679331294,182.39119
143.75,144.43772543450902,181.13878
143.75,144.56668267649303,181.81354
143.75,145.09982242265815,190.79443
143.75,145.01154247207108,192.13678
143.75,144.43642725820456,192.18243
143.75,144.4511403631979,190.8535
143.75,144.4485440105889,190.89085
143.75,144.53898714814116,189.54202
143.75,143.9387727585318,191.58418
143.75,143.9387727585318,193.79987
143.75,143.93184871136546,202.17023
143.75,144.4688829864441,198.78825
143.75,144.5826939577909,194.3387
143.75,144.83282004424527,188.04683
143.75,144.8587842306488,184.89055
143.75,144.61601535700458,183.71968
143.75,145.10198560962334,184.91591
143.75,145.3992805293106,182.16537
143.75,145.5788686281106,183.55553
143.75,145.54122019465305,184.236
143.75,145.86318112443934,185.62996
143.75,145.87875990040686,184.7215
143.75,146.40108041017868,181.79903
143.75,146.41103331528436,170.12752
143.75,146.9398456970489,164.95009
143.75,147.03504903448882,162.18262
143.75,147.6430531422387,160.33922
143.75,147.48683287723324,155.93057
143.75,147.09260393847123,157.00476
143.75,147.03375085818433,160.64015
143.75,147.68632744655807,161.44688
143.75,147.44658776100994,160.54063
143.75,147.58939309732656,159.96645
143.75,147.4716869367528,160.04663
143.75,147.18131639438863,165.05714
143.75,147.22112867512485,169.18013
143.75,147.03201984639276,169.47595
143.75,147.0173067413994,168.62862
143.75,147.06750476272836,169.99818
143.75,146.67414116478378,168.65517
143.75,146.7914148200272,166.71822
143.75,146.86108647639392,165.834
143.75,146.59062207439786,169.70322
143.75,146.14359843154114,173.96643
143.75,146.14048144123012,177.83873
143.75,146.1290398807161,184.53633
143.75,146.1033889653516,186.07788
143.75,146.12797618926834,184.20908
143.75,146.13780771603243,183.71829
143.75,146.12840692639162,188.79147
143.75,146.13490507771292,196.62216
143.75,146.12086008710367,202.06783
143.75,146.1138375918,206.12724
143.75,146.1082570568662,211.49141
143.75,146.08518580524589,216.02704
143.75,146.0890060586929,219.95813
143.75,146.11389376947645,223.39531
143.75,146.11325707009348,231.26328
143.75,146.1133694254464,241.09744
143.75,146.10945556158836,248.51328
143.75,146.13542942174118,256.72876
143.75,146.13542942174118,258.0445
143.75,146.13572905506538,256.72333
143.75,146.1124892704157,259.05823
143.75,146.10756417980676,270.12405
143.75,146.0967401474233,263.90256
143.75,146.09561656531946,263.4191
143.75,146.1061222194368,258.17227
143.75,146.0850921948348,245.07469
143.75,146.07222696400765,246.37187
143.75,146.06445541396803,252.88643
143.75,146.0660846237346,256.72507
143.75,146.0521519884801,260.6613
143.75,146.05147782778795,274.77917
143.75,146.02887477109584,282.30392
143.75,146.02844406605143,279.06757
143.75,146.0055600781151,274.95096
143.75,146.00144021991852,269.964
143.75,145.97512926513232,268.54248
143.75,145.981889588421,270.24872
