Date,Forecast
2023-03-08,193.43051
2023-03-09,188.00351
2023-03-10,180.3609
2023-03-13,176.89471
2023-03-14,176.51176
2023-03-15,181.69205
2023-03-16,183.48145
2023-03-17,185.8017
2023-03-20,184.62993
2023-03-21,185.21454
2023-03-22,193.80049
2023-03-23,195.33287
2023-03-24,195.53111
2023-03-27,194.30095
2023-03-28,194.32495
2023-03-29,193.04909
2023-03-30,195.01982
2023-03-31,197.23479
2023-04-03,205.40285
2023-04-04,202.40752
2023-04-05,198.12958
2023-04-06,191.92911
2023-04-10,188.68463
2023-04-11,187.42447
2023-04-12,188.528
2023-04-13,185.9212
2023-04-14,187.18777
2023-04-17,187.81436
2023-04-18,189.14005
2023-04-19,188.27415
2023-04-20,185.42871
2023-04-21,174.13336
2023-04-24,168.83026
2023-04-25,165.89296
2023-04-26,163.9705
2023-04-27,159.66832
2023-04-28,160.51588
2023-05-01,163.90608
2023-05-02,164.73053
2023-05-03,163.88513
2023-05-04,163.2791
2023-05-05,163.28423
2023-05-08,168.03247
2023-05-09,172.11232
2023-05-10,172.58496
2023-05-11,171.85551
2023-05-12,173.16267
2023-05-15,171.91632
2023-05-16,170.06151
2023-05-17,169.17322
2023-05-18,172.84666
2023-05-19,177.04726
2023-05-22,180.94447
2023-05-23,187.54733
2023-05-24,189.25925
2023-05-25,187.57622
2023-05-26,187.07837
2023-05-30,191.93161
2023-05-31,199.63034
2023-06-01,205.19533
2023-06-02,209.38474
2023-06-05,214.7482
2023-06-06,219.32126
2023-06-07,223.31128
2023-06-08,226.81749
2023-06-09,234.59999
2023-06-12,244.40993
2023-06-13,251.97601
2023-06-14,260.2558
2023-06-15,261.83902
2023-06-16,260.71194
2023-06-20,263.03732
2023-06-21,273.9243
2023-06-22,268.33734
2023-06-23,267.92184
2023-06-26,262.8352
2023-06-27,250.08813
2023-06-28,251.06067
2023-06-29,257.32135
2023-06-30,261.21457
2023-07-03,265.10815
2023-07-05,278.76544
2023-07-06,286.29248
2023-07-07,283.36826
2023-07-10,279.34824
2023-07-11,274.47424
2023-07-12,273.12476
2023-07-13,274.90976
2023-07-14,280.24612
2023-07-17,284.9371
2023-07-18,292.72867
2023-07-19,297.47394
2023-07-20,296.74564
2023-07-21,275.1544
2023-07-24,264.38306
2023-07-25,268.7661
2023-07-26,269.79648
2023-07-27,269.3
2023-07-28,262.90298
2023-07-31,267.34402
2023-08-01,270.7917
2023-08-02,267.35605
2023-08-03,260.48004
2023-08-04,261.28516
2023-08-07,258.86316
2023-08-08,256.13446
2023-08-09,254.04477
2023-08-10,248.43747
2023-08-11,248.18245
2023-08-14,247.04442
2023-08-15,244.6824
2023-08-16,239.23285
